Country,CO2_emission,unit,,,,,,
Afghanistan,9440000,1000000,,,,,,
Africa,1400000000,1000000000,,,,,,
Albania,4570000,,,,,,,
Algeria,155730000,,,,,,,
Andorra,"470,909",,,,,,,
Angola,34540000,,,,,,,
Anguilla,"156,349",,,,,,,
Antarctic Fisheries,,,,,,,,
Argentina,195530000,,,,,,,
Armenia,5570000,,,,,,,
Aruba,"897,147",,,,,,,
Asia,20070000000,,,,,,,
Asia (excl. China & India),7360000000,,,,,,,
Australia,420220000,,,,,,,
Austria,68870000,,,,,,,
Azerbaijan,36790000,,,,,,,
Bahamas,1810000,,,,,,,
Bahrain,31060000,,,,,,,
Bangladesh,85690000,,,,,,,
Barbados,1280000,,,,,,,
Belarus,65460000,,,,,,,
Belgium,99670000,,,,,,,
Belize,"574,498",,,,,,,
Benin,7150000,,,,,,,
Bermuda,"621,675",,,,,,,
Bhutan,1210000,,,,,,,
Bolivia,22260000,,,,,,,
Bonaire Sint Eustatius and Saba,"335,034",,,,,,,
Bosnia and Herz.,21670000,,,,,,,
Botswana,6670000,,,,,,,
Brazil,457190000,,,,,,,
British Virgin Islands,"215,911",,,,,,,
Brunei,7930000,,,,,,,
Bulgaria,44510000,,,,,,,
Burkina Faso,3900000,,,,,,,
Burundi,"521,640",,,,,,,
Cambodia,10400000,,,,,,,
Cameroon,8140000,,,,,,,
Canada,568410000,,,,,,,
Cape Verde,"628,229",,,,,,,
Cayman Islands,,,,,,,,
Central African Rep.,"303,695",,,,,,,
Chad,1010000,,,,,,,
Chile,85880000,,,,,,,
China,10060000000,,,,,,,
Colombia,97270000,,,,,,,
Comoros,"218,415",,,,,,,
Dem. Rep. Congo,3230000,,,,,,,
Cook Islands,"65,711",,,,,,,
Costa Rica,8060000,,,,,,,
Côte d'Ivoire,8390000,,,,,,,
Croatia,18600000,,,,,,,
Cuba,28620000,,,,,,,
Curacao,5480000,,,,,,,
Cyprus,7490000,,,,,,,
Czechia,105950000,,,,,,,
Congo,2040000,,,,,,,
Denmark,34810000,,,,,,,
Djibouti,"644,198",,,,,,,
Dominica,"182,407",,,,,,,
Dominican Republic,24860000,,,,,,,
EU-27,3070000000,,,,,,,
EU-28,3440000000,,,,,,,
Ecuador,41920000,,,,,,,
Egypt,238820000,,,,,,,
El Salvador,7130000,,,,,,,
Equatorial Guinea,5690000,,,,,,,
Eritrea,"740,111",,,,,,,
Estonia,19560000,,,,,,,
Ethiopia,14940000,,,,,,,
Europe,5630000000,,,,,,,
Europe (excl. EU-27),2570000000,,,,,,,
Europe (excl. EU-28),2190000000,,,,,,,
Faeroe Islands,"632,784",,,,,,,
Falkland Islands,,,,,,,,
Fiji,2130000,,,,,,,
Finland,46990000,,,,,,,
France,337910000,,,,,,,
French Guiana,,,,,,,,
French Polynesia,"811,722",,,,,,,
Gabon,5360000,,,,,,,
Gambia,"610,632",,,,,,,
Georgia,10560000,,,,,,,
Germany,759000000,,,,,,,
Ghana,18300000,,,,,,,
Gibraltar,,,,,,,,
Greece,73890000,,,,,,,
Greenland,"511,378",,,,,,,
Grenada,"270,590",,,,,,,
Guadeloupe,,,,,,,,
Guatemala,18370000,,,,,,,
Guinea,3180000,,,,,,,
Guinea-Bissau,"339,583",,,,,,,
Guyana,2430000,,,,,,,
Haiti,3000000,,,,,,,
Honduras,h2*9.92,,,,,,,
Hong Kong,43140000,,,,,,,
Hungary,49860000,,,,,,,
Iceland,3630000,,,,,,,
India,2650000000,,,,,,,
Indonesia,614920000,,,,,,,
International transport,1240000000,,,,,,,
Iran,720410000,,,,,,,
Iraq,204170000,,,,,,,
Ireland,38930000,,,,,,,
Israel,64260000,,,,,,,
Italy,338030000,,,,,,,
Jamaica,8190000,,,,,,,
Japan,1160000000,,,,,,,
Jordan,24090000,,,,,,,
Kazakhstan,321790000,,,,,,,
Kenya,h2*18.49,,,,,,,
Kiribati,"69,576",,,,,,,
Kuwait,98060000,,,,,,,
Kyrgyzstan,10080000,,,,,,,
Laos,19320000,,,,,,,
Latvia,7190000,,,,,,,
Lebanon,24230000,,,,,,,
Lesotho,2660000,,,,,,,
Liberia,1560000,,,,,,,
Libya,54020000,,,,,,,
Liechtenstein,"152,708",,,,,,,
Lithuania,13550000,,,,,,,
Luxembourg,9580000,,,,,,,
Macao,2090000,,,,,,,
Macedonia,7270000,,,,,,,
Madagascar,4280000,,,,,,,
Malawi,1380000,,,,,,,
Malaysia,254530000,,,,,,,
Maldives,1520000,,,,,,,
Mali,3560000,,,,,,,
Malta,1580000,,,,,,,
Marshall Islands,"150,748",,,,,,,
Martinique,,,,,,,,
Mauritania,2660000,,,,,,,
Mauritius,4850000,,,,,,,
Mexico,477320000,,,,,,,
Moldova,5130000,,,,,,,
Mongolia,28110000,,,,,,,
Montenegro,2010000,,,,,,,
Montserrat,"29,781",,,,,,,
Morocco,66310000,,,,,,,
Mozambique,8290000,,,,,,,
Myanmar,26330000,,,,,,,
Namibia,4270000,,,,,,,
Nauru,"50,249",,,,,,,
Nepal,9450000,,,,,,,
Netherlands,161620000,,,,,,,
New Caledonia,5760000,,,,,,,
New Zealand,34770000,,,,,,,
Nicaragua,5570000,,,,,,,
Niger,2320000,,,,,,,
Nigeria,127290000,,,,,,,
Niue,"7,731",,,,,,,
North America,6650000000,,,,,,,
North America (excl. USA),1230000000,,,,,,,
North Korea,30220000,,,,,,,
Norway,44330000,,,,,,,
Oceania,4.7284E+11,,,,,,,
Oman,67290000,,,,,,,
Pakistan,223540000,,,,,,,
Palau,"235,786",,,,,,,
Palestine,3210000,,,,,,,
Panama,10940000,,,,,,,
Papua New Guinea,7840000,,,,,,,
Paraguay,7430000,,,,,,,
Peru,55530000,,,,,,,
Philippines,135070000,,,,,,,
Poland,343540000,,,,,,,
Portugal,50930000,,,,,,,
Qatar,105620000,,,,,,,
Romania,74060000,,,,,,,
Russia,1710000000,,,,,,,
Rwanda,1120000,,,,,,,
Saint Helena,"11,168",,,,,,,
Saint Kitts and Nevis,"241,969",,,,,,,
Saint Lucia,"420,654",,,,,,,
Saint Pierre and Miquelon,"78,175",,,,,,,
Saint Vincent and the Grenadines,"223,356",,,,,,,
Samoa,"258,978",,,,,,,
Sao Tome and Principe,"123,728",,,,,,,
Saudi Arabia,621300000,,,,,,,
Senegal,11710000,,,,,,,
Serbia,45440000,,,,,,,
Seychelles,"655,244",,,,,,,
Sierra Leone,1080000,,,,,,,
Singapore,40860000,,,,,,,
Sint Maarten (Dutch part),"774,301",,,,,,,
Slovakia,36030000,,,,,,,
Slovenia,14430000,,,,,,,
Solomon Islands,"177,806",,,,,,,
Somalia,"698,927",,,,,,,
South Africa,467560000,,,,,,,
South America,1110000000,,,,,,,
South Korea,658790000,,,,,,,
S. Sudan,1870000,,,,,,,
Spain,268230000,,,,,,,
Sri Lanka,23370000,,,,,,,
Sudan,21050000,,,,,,,
Suriname,1790000,,,,,,,
Swaziland,1200000,,,,,,,
Sweden,41030000,,,,,,,
Switzerland,36870000,,,,,,,
Syria,28280000,,,,,,,
Taiwan,274640000,,,,,,,
Tajikistan,5480000,,,,,,,
Tanzania,12500000,,,,,,,
Thailand,288230000,,,,,,,
Timor,"521,821",,,,,,,
Togo,3420000,,,,,,,
Tonga,"135,287",,,,,,,
Trinidad and Tobago,43480000,,,,,,,
Tunisia,31580000,,,,,,,
Turkey,428180000,,,,,,,
Turkmenistan,79890000,,,,,,,
Turks and Caicos Islands,"219,634",,,,,,,
Tuvalu,"11,596",,,,,,,
Uganda,5770000,,,,,,,
Ukraine,225020000,,,,,,,
United Arab Emirates,205600000,,,,,,,
United Kingdom,379040000,,,,,,,
United States of America,5420000000,,,,,,,
Uruguay,6940000,,,,,,,
Uzbekistan,91270000,,,,,,,
Vanuatu,"154,614",,,,,,,
Venezuela,138760000,,,,,,,
Vietnam,206660000,,,,,,,
World,36570000000,,,,,,,
Yemen,10140000,,,,,,,
Zambia,5230000,,,,,,,
Zimbabwe,12260000,,,,,,,
