Country,Year,CO2 emissions per capita
Afghanistan,2018,0.25 t
Africa,2018,1.10 t
Albania,2018,1.59 t
Algeria,2018,3.69 t
Andorra,2018,6.12 t
Angola,2018,1.12 t
Anguilla,2018,10.42 t
Antigua and Barbuda,2018,5.89 t
Argentina,2018,4.41 t
Armenia,2018,1.89 t
Aruba,2018,8.46 t
Asia,2018,4.40 t
Asia (excl. China & India),2018,4.13 t
Australia,2018,16.88 t
Austria,2018,7.75 t
Azerbaijan,2018,3.70 t
Bahamas,2018,4.70 t
Bahrain,2018,19.80 t
Bangladesh,2018,0.53 t
Barbados,2018,4.47 t
Belarus,2018,6.92 t
Belgium,2018,8.68 t
Belize,2018,1.50 t
Benin,2018,0.62 t
Bermuda,2018,9.87 t
Bhutan,2018,1.61 t
Bolivia,2018,1.96 t
Bonaire Sint Eustatius and Saba,2018,12.89 t
Bosnia and Herzegovina,2018,6.52 t
Botswana,2018,2.96 t
Brazil,2018,2.18 t
British Virgin Islands,2018,7.20 t
Brunei,2018,18.48 t
Bulgaria,2018,6.31 t
Burkina Faso,2018,0.20 t
Burundi,2018,0.05 t
Cambodia,2018,0.64 t
Cameroon,2018,0.32 t
Canada,2018,15.33 t
Cape Verde,2018,1.15 t
Cayman Islands,2018,
Central African Republic,2018,0.07 t
Chad,2018,0.07 t
Chile,2018,4.59 t
China,2018,7.05 t
Colombia,2018,1.96 t
Comoros,2018,0.26 t
Congo,2018,0.62 t
Cook Islands,2018,3.65 t
Costa Rica,2018,1.61 t
Cote d'Ivoire,2018,0.33 t
Croatia,2018,4.48 t
Cuba,2018,2.52 t
Curacao,2018,33.63 t
Cyprus,2018,6.30 t
Czech Republic,2018,9.93 t
Democratic Republic of Congo,2018,0.02 t
Denmark,2018,6.05 t
Djibouti,2018,0.67 t
Dominica,2018,2.53 t
Dominican Republic,2018,2.34 t
EU-27,2018,6.90 t
EU-28,2018,6.73 t
Ecuador,2018,2.45 t
Egypt,2018,2.43 t
El Salvador,2018,1.11 t
Equatorial Guinea,2018,4.34 t
Eritrea,2018,0.21 t
Estonia,2018,14.78 t
Ethiopia,2018,0.14 t
Europe,2018,7.53 t
Europe (excl. EU-27),2018,8.43 t
Europe (excl. EU-28),2018,9.22 t
Faeroe Islands,2018,13.18 t
Falkland Islands,2018,
Fiji,2018,2.41 t
Finland,2018,8.51 t
France,2018,5.20 t
French Guiana,2018,
French Polynesia,2018,2.92 t
Gabon,2018,2.53 t
Gambia,2018,0.27 t
Georgia,2018,2.64 t
Germany,2018,9.13 t
Ghana,2018,0.61 t
Gibraltar,2018,
Greece,2018,7.02 t
Greenland,2018,8.97 t
Grenada,2018,2.44 t
Guadeloupe,2018,
Guatemala,2018,1.06 t
Guinea,2018,0.26 t
Guinea-Bissau,2018,0.18 t
Guyana,2018,3.12 t
Haiti,2018,0.27 t
Honduras,2018,1.03 t
Hong Kong,2018,5.85 t
Hungary,2018,5.14 t
Iceland,2018,10.77 t
India,2018,1.96 t
Indonesia,2018,2.30 t
Iran,2018,8.81 t
Iraq,2018,5.31 t
Ireland,2018,8.08 t
Israel,2018,7.67 t
Italy,2018,5.58 t
Jamaica,2018,2.79 t
Japan,2018,9.13 t
Jordan,2018,2.42 t
Kazakhstan,2018,17.56 t
Kenya,2018,0.36 t
Kiribati,2018,0.60 t
Kuwait,2018,23.70 t
Kyrgyzstan,2018,1.60 t
Laos,2018,2.74 t
Latvia,2018,3.73 t
Lebanon,2018,3.53 t
Lesotho,2018,1.26 t
Liberia,2018,0.32 t
Libya,2018,8.09 t
Liechtenstein,2018,4.02 t
Lithuania,2018,4.84 t
Luxembourg,2018,15.86 t
Macao,2018,3.31 t
Macedonia,2018,3.49 t
Madagascar,2018,0.16 t
Malawi,2018,0.08 t
Malaysia,2018,8.07 t
Maldives,2018,2.95 t
Mali,2018,0.19 t
Malta,2018,3.61 t
Marshall Islands,2018,2.60 t
Martinique,2018,
Mauritania,2018,0.60 t
Mauritius,2018,3.83 t
Mexico,2018,3.78 t
Moldova,2018,1.27 t
Mongolia,2018,8.87 t
Montenegro,2018,3.20 t
Montserrat,2018,5.96 t
Morocco,2018,1.84 t
Mozambique,2018,0.28 t
Myanmar,2018,0.49 t
Namibia,2018,1.75 t
Nauru,2018,4.57 t
Nepal,2018,0.34 t
Netherlands,2018,9.47 t
New Caledonia,2018,20.56 t
New Zealand,2018,7.33 t
Nicaragua,2018,0.86 t
Niger,2018,0.10 t
Nigeria,2018,0.65 t
Niue,2018,3.87 t
North America,2018,11.48 t
North America (excl. USA),2018,4.88 t
North Korea,2018,1.18 t
Norway,2018,8.30 t
Oceania,2018,11.49 t
Oman,2018,13.93 t
Pakistan,2018,1.05 t
Palau,2018,13.10 t
Palestine,2018,0.66 t
Panama,2018,2.62 t
Papua New Guinea,2018,0.91 t
Paraguay,2018,1.07 t
Peru,2018,1.74 t
Philippines,2018,1.27 t
Poland,2018,9.06 t
Portugal,2018,4.97 t
Qatar,2018,37.97 t
Reunion,2018,
Romania,2018,3.80 t
Russia,2018,11.74 t
Rwanda,2018,0.09 t
Saint Helena,2018,1.86 t
Saint Kitts and Nevis,2018,4.65 t
Saint Lucia,2018,2.31 t
Saint Pierre and Miquelon,2018,13.03 t
Saint Vincent and the Grenadines,2018,2.03 t
Samoa,2018,1.32 t
Sao Tome and Principe,2018,0.59 t
Saudi Arabia,2018,18.43 t
Senegal,2018,0.74 t
Serbia,2018,5.16 t
Seychelles,2018,6.76 t
Sierra Leone,2018,0.14 t
Singapore,2018,7.10 t
Sint Maarten (Dutch part),2018,18.44 t
Slovakia,2018,6.61 t
Slovenia,2018,6.95 t
Solomon Islands,2018,0.27 t
Somalia,2018,0.05 t
South Africa,2018,8.09 t
South America,2018,2.63 t
South Korea,2018,12.87 t
South Sudan,2018,0.17 t
Spain,2018,5.74 t
Sri Lanka,2018,1.10 t
Sudan,2018,0.50 t
Suriname,2018,3.10 t
Swaziland,2018,1.06 t
Sweden,2018,4.11 t
Switzerland,2018,4.32 t
Syria,2018,1.67 t
Taiwan,2018,11.58 t
Tajikistan,2018,0.60 t
Tanzania,2018,0.22 t
Thailand,2018,4.15 t
Timor,2018,0.41 t
Togo,2018,0.43 t
Tonga,2018,1.31 t
Trinidad and Tobago,2018,31.28 t
Tunisia,2018,2.73 t
Turkey,2018,5.20 t
Turkmenistan,2018,13.65 t
Turks and Caicos Islands,2018,5.78 t
Tuvalu,2018,0.97 t
Uganda,2018,0.14 t
Ukraine,2018,5.09 t
United Arab Emirates,2018,21.35 t
United Kingdom,2018,5.65 t
United States,2018,16.56 t
Uruguay,2018,2.01 t
Uzbekistan,2018,2.81 t
Vanuatu,2018,0.53 t
Venezuela,2018,4.80 t
Vietnam,2018,2.16 t
World,2018,4.79 t
Yemen,2018,0.36 t
Zambia,2018,0.30 t
Zimbabwe,2018,0.85 t
,,
,,
,,
,,
,,
,,
,,
